,post_id,date_comment,text_comment
0,1421,2023-12-06 12:42:17+00:00,💔
1,1421,2023-12-06 12:42:40+00:00,
2,1421,2023-12-06 12:46:43+00:00,Предлагаю также в других номинациях голосовать за Yummy Music потому что ребята просто 🔥🔥🔥 и Sviaga Glamping потому что они у нас тут рядышком и тоже молодцы))
3,1421,2023-12-06 13:55:10+00:00,❤️
4,1420,2023-12-05 06:04:14+00:00,"Очень интересное сотрудничество! Уверен, что в адвент-календаре Иннополиса будут самые необычные и оригинальные подарки. Жду с нетерпением открытия! 🎁🎅🎄"
5,1420,2023-12-05 13:54:54+00:00,Обои с календариком на декабрь для мобилы/десктопа выходили уже?
6,1420,2023-12-05 13:55:49+00:00,"Они лежат в адвент-календаре за 1 декабря 🙃
innoadvent.ru"
7,1420,2023-12-05 13:56:44+00:00,Но там нет именно с календариком....
8,1420,2023-12-05 13:56:50+00:00,Такого
9,1420,2023-12-05 13:57:08+00:00,Оно оказалось офигенное удобно. Пользуюсь с сентября
10,1415,2023-12-04 15:18:24+00:00,Где обои декабрьские
11,1415,2023-12-04 15:20:53+00:00,"Их можно найти в адвент-календаре за 1 декабря 🤗
innoadvent.ru/"
12,1415,2023-12-04 15:40:23+00:00,"Подскажите, пожалуйста, где можно найти фотографии с DataScience митапа, котоый вот на первой фотке в этом посте?"
13,1407,2023-12-01 17:35:25+00:00,"Привет Иннополис, когда ждать календарики?"
14,1407,2023-12-02 12:10:33+00:00,"А ещё,  было бы здорово организовать "" слет камперов"" со всей РФ и ближних дружественных, которые расположились бы в живописнейших окрестностях Иннополиса и близ Макарьевского монастыря вдоль Волги... а в сам Иннополис в течение этой недели пииезжали бы на разные культурные мероприятия и просто вкусно поесть и ""подышать"" инновациями. Этот слет поможет показать людям, или даже прожить высокоскоррстную современную жизнь одновременно и в единении с тихой и замедленной природой✅😇👍"
15,1406,2023-12-01 04:58:21+00:00,Спасибо!!!
16,1406,2023-12-01 16:14:21+00:00,Это очень мило❤️ спасибо за Новогоднее настроение
17,1406,2023-12-05 15:40:10+00:00,Спасибо!!!
18,1404,2023-11-30 14:05:33+00:00,ваааау
19,1404,2023-11-30 14:05:45+00:00,🔥
20,1404,2023-11-30 14:07:53+00:00,ждем завтра))
21,1404,2023-11-30 14:11:03+00:00,Круто! Отличная идея!
22,1404,2023-11-30 14:51:34+00:00,"блин, это так продумано! лучший адвент календарь"
23,1404,2023-11-30 15:15:56+00:00,
24,1404,2023-11-30 15:19:45+00:00,"Закрепите в канале это, пожалуйста. Дабы не потерять ссылку"
25,1404,2023-11-30 15:20:39+00:00,Фига у вас t2m (время реакции и доставки изменения в прод) близкий к 0...
26,1404,2023-11-30 15:21:50+00:00,
27,1404,2023-11-30 15:45:36+00:00,💔вааааау!
28,1403,2023-11-29 17:45:55+00:00,Ура
29,1395,2023-11-28 12:44:51+00:00,"Экскурсионные маршруты туда пока не очень организованны, сами недавно столкнулись с этим, хотелось, чтобы больше было возможности и вариантов в этом плане.."
30,1395,2023-11-28 12:46:52+00:00,Хотелось бы к вам приехать) Занимаюсь профориентацией с подростками))) Как можно это сделать?
31,1395,2023-11-28 14:07:15+00:00,Вы можете заказать экскурсию в Иннополис на сайте https://www.innopolistravel.com/
32,1395,2023-11-28 18:16:03+00:00,"Особенным  Иннополис делает отсутствие людей на улицах ))) и это очень мило, особенно , когда живёшь в большом городе и приезжаешь в Иннополис отдохнуть от суеты 😍  Пустые улицы очень умиротворяют. При этом, ясно же, что жизнь города кипит, но на интересных мероприятиях, а не просто на тротуарах да в ТЦ)) 
Так что я б проголосовала за аккуратный, лимитированный туризм 🤭🤭🤭"
33,1395,2023-11-29 12:04:52+00:00,"Было бы здорово если были какие-то классные супер современные площадки для детей, а также мастер классы или экскурсии адаптированные под возраст 4-7 лет. Как раз в этот период дети активно интересуются роботами, техникой и пр."
34,1389,2023-11-27 13:41:14+00:00,Ну воооооот: теперь мой пароль знают все 🥸
35,1382,2023-11-25 04:34:29+00:00,"Классный город , были в гостях ! Очень понравился 👍"
36,1382,2023-11-25 16:53:53+00:00,"Добрый вечер! Не знаю в какую сторону развитие, но выезжать из города на трассу М7 с риском для жизни, то ещё испытание. Светофор нельзя было поставить, или разворотную петлю сделать? 
Возле входа в спорткомплекс перегорели фонари. Шары не светятся."
37,1382,2023-11-26 07:36:54+00:00,"Здравствуйте! 
Состояние квартир не говорит о развитии, скорее, наоборот.
А в остальном мне очень нравится город."
38,1382,2023-11-27 09:08:29+00:00,"К сожалению, трасса не находится в рамках полномочий города.

Насчёт освещения в городе можете оставить заявку в @InnopolisHelp, чтобы специалисты всё починили"
39,1382,2023-11-27 11:24:04+00:00,Не клиентоцентрично как-то)
40,1382,2023-11-27 11:56:28+00:00,"3 улицы которые можно пройти за 20 минут, оставьте заявку. 🤣 Каждый день рискуя жизнью, студенты на транспорте вылетающие под фуры, вопрос не к нам🥵. Инногород отстал в благоустройстве на 100 лет."
41,1381,2023-11-24 09:17:02+00:00,Ого. А с виду молодой.
42,1381,2023-11-24 09:23:17+00:00,А ему сколько ?
43,1381,2023-11-24 09:26:36+00:00,Александру Владимировичу 40 лет
44,1381,2023-11-24 09:34:09+00:00,Поздравляю вас с таким ректором!
45,1381,2023-11-24 09:48:52+00:00,"Поздравляю Университет с приобретением, Александру Владимировичу желаю успехов! 💫"
46,1381,2023-11-24 18:23:24+00:00,40 лет! 😱 Где мои 40 лет?!
47,1379,2023-11-24 09:33:04+00:00,Туризм обязательно нужен.  Это ведь ранняя профориентация будущих ИТ. Думаю Иннополису надо ввести в программу школьный туризм со всей страны
48,1377,2023-11-22 15:35:23+00:00,А есть что то связанное с математикой? Можно ли поступить в следующем году ?
49,1377,2023-11-22 19:09:33+00:00,Все вакансии  только для IT-шников  ((
50,1377,2023-11-23 05:20:34+00:00,Неайтишные вакансии можно посмотреть в этом канале @innopolis_job
51,1377,2023-11-23 13:29:31+00:00,Ну это же it-город😅
52,1377,2023-11-23 13:32:20+00:00,На одних it шниках город не построишь
53,1377,2023-11-25 19:06:32+00:00,На юриста где публикуются вакансии?
54,1377,2023-11-26 07:54:55+00:00,Можно поискать на hh
55,1377,2023-11-27 09:08:55+00:00,Появляются разные вакансии. Лучше отслеживать на hh 🙌
56,1377,2023-11-30 16:22:45+00:00,"Мне бы хотелось, у Вас работать дворником, чтобы возле вашего завода было чисто, и уютно"
57,1376,2023-11-21 15:28:40+00:00,красотень😭
58,1376,2023-11-21 15:35:07+00:00,Это прекрасно
59,1376,2023-11-21 15:36:25+00:00,"Мне как огромному любителю Киберпанка (жанра, не только игры) - видеть такое очень приятно! :D"
60,1376,2023-11-21 15:45:48+00:00,вот это у вас там уже снега...
61,1376,2023-11-21 16:18:47+00:00,"Немного грустно, возможно из за мелодии) а так, супер. Понравилось"
62,1376,2023-11-21 16:28:17+00:00,Красота❤️
63,1376,2023-11-21 16:38:53+00:00,"Ураааа
Выложили эту красоту наконец-то 😍"
